"","Classification_orig_aggr","perc_subsample","ClinicalStudy","Tissue","mean_accuracy","sd_accuracy","se_accuracy"
"50","Uni_Uni","50%","BTHAL","PB",0.994264125021467,0.0479496117364058,0.000942546877238961
"51","Uni_Uni","50%","MLD","BM",0.983673388460785,0.0801960024089968,0.000809812791737228
"52","Uni_Uni","50%","MLD","PB",0.983557300801001,0.0793548524007071,0.000582296461105586
"53","Uni_Uni","50%","WAS","BM",0.969148604269294,0.111451459015983,0.00292685870408006
"54","Uni_Uni","50%","WAS","PB",0.964321050326485,0.118257441360784,0.00170975110387659
"55","Uni_Uni","70%","BTHAL","BM",0.9967844665985,0.0403095276601769,0.000789321469347805
"56","Uni_Uni","70%","BTHAL","PB",0.995783960157994,0.0431927566255274,0.000849041241471058
"57","Uni_Uni","70%","MLD","BM",0.987241215782054,0.0738864364905923,0.000746099301818185
"58","Uni_Uni","70%","MLD","PB",0.987197701609181,0.0728251237777829,0.000534382089720847
"59","Uni_Uni","70%","WAS","BM",0.975965517241379,0.101159703976949,0.00265658397567172
"60","Uni_Uni","70%","WAS","PB",0.970164867061419,0.114919354112568,0.00166131583794486
"61","Uni_Uni","80%","BTHAL","BM",0.99772920927062,0.0273208120257567,0.000534982788033265
"62","Uni_Uni","80%","BTHAL","PB",0.9973209685729,0.0259579048571298,0.000510255271664222
"63","Uni_Uni","80%","MLD","BM",0.9913505659223,0.0507145577339449,0.000512111531080974
"64","Uni_Uni","80%","MLD","PB",0.991155336246064,0.0499165765490141,0.000366281897019041
"65","Uni_Uni","80%","WAS","BM",0.984130541871921,0.0645498410316132,0.00169516187350466
"66","Uni_Uni","80%","WAS","PB",0.980643711333366,0.076041192696074,0.00109927904431538
"67","Uni_Uni","90%","BTHAL","BM",0.998231935923654,0.0219336879325688,0.000429494756998982
"68","Uni_Uni","90%","BTHAL","PB",0.997982139790486,0.021663998123332,0.000425849825268843
"69","Uni_Uni","90%","MLD","BM",0.992891415428889,0.0441248208048725,0.000445568896796906
"70","Uni_Uni","90%","MLD","PB",0.993247301792423,0.0419290223700095,0.000307670175232484
"71","Uni_Uni","90%","WAS","BM",0.988252873563218,0.0546457587443374,0.00143506793032639
"72","Uni_Uni","90%","WAS","PB",0.984780398401088,0.0630514337773071,0.000911494380979263
