"","Classification_orig","Class_orig_short","perc_subsample","ClinicalStudy","Tissue","mean_accuracy","sd_accuracy","se_accuracy"
"46","Multilineage_UniLyB","Multi_UniLyB","70%","MLD","PB",0.932276618512574,0.162208209751135,0.00459529937357725
"47","Multilineage_UniLyB","Multi_UniLyB","70%","WAS","BM",0.855944162674932,0.228976798358672,0.0124546959118309
"48","Multilineage_UniLyB","Multi_UniLyB","70%","WAS","PB",0.8509797601719,0.23167569837758,0.00684664385438354
"49","Multilineage_UniLyB","Multi_UniLyB","80%","BTHAL","BM",0.959981933152665,0.105675225399824,0.00952841418796583
"50","Multilineage_UniLyB","Multi_UniLyB","80%","BTHAL","PB",0.941767068273092,0.114245628888381,0.0125400869119899
"51","Multilineage_UniLyB","Multi_UniLyB","80%","MLD","BM",0.974372384937239,0.0874151655433841,0.00565441700451892
"52","Multilineage_UniLyB","Multi_UniLyB","80%","MLD","PB",0.953873028612194,0.111570429814175,0.0031607495515882
"53","Multilineage_UniLyB","Multi_UniLyB","80%","WAS","BM",0.904043392504931,0.162009461086518,0.00881215296543497
"54","Multilineage_UniLyB","Multi_UniLyB","80%","WAS","PB",0.901531503431067,0.158682728737634,0.00468950406588469
"55","Multilineage_UniLyB","Multi_UniLyB","90%","BTHAL","BM",0.964227642276423,0.0933265738874834,0.00841497377818903
"56","Multilineage_UniLyB","Multi_UniLyB","90%","BTHAL","PB",0.94578313253012,0.112944196040947,0.0123972360985651
"57","Multilineage_UniLyB","Multi_UniLyB","90%","MLD","BM",0.981589958158996,0.0798895197189383,0.00516762344352504
"58","Multilineage_UniLyB","Multi_UniLyB","90%","MLD","PB",0.963032816122704,0.0968587793522974,0.00274397386399831
"59","Multilineage_UniLyB","Multi_UniLyB","90%","WAS","BM",0.926537991922607,0.135470096226054,0.00736860182226436
"60","Multilineage_UniLyB","Multi_UniLyB","90%","WAS","PB",0.919068413391558,0.139899489969931,0.00413440852856716
"61","Multilineage_UniLyT","Multi_UniLyT","50%","BTHAL","BM",0.953846153846154,0.153981840617064,0.0213534393013519
"62","Multilineage_UniLyT","Multi_UniLyT","50%","BTHAL","PB",0.922056384742952,0.160602267823043,0.0196206898223037
"63","Multilineage_UniLyT","Multi_UniLyT","50%","MLD","BM",0.944733592361676,0.13518514431162,0.00588875737811942
"64","Multilineage_UniLyT","Multi_UniLyT","50%","MLD","PB",0.920598918330773,0.172597722945656,0.00447438753287777
"65","Multilineage_UniLyT","Multi_UniLyT","50%","WAS","BM",0.818713372795005,0.232051769524342,0.00999517729156197
"66","Multilineage_UniLyT","Multi_UniLyT","50%","WAS","PB",0.828822553897181,0.236429848093927,0.00745794664961975
"67","Multilineage_UniLyT","Multi_UniLyT","70%","BTHAL","BM",0.962179487179487,0.12935719174755,0.0179386149113777
"68","Multilineage_UniLyT","Multi_UniLyT","70%","BTHAL","PB",0.924212271973466,0.177102308661934,0.0216364906434473
"69","Multilineage_UniLyT","Multi_UniLyT","70%","MLD","BM",0.954016445287793,0.143034363995373,0.00623067475787702
"70","Multilineage_UniLyT","Multi_UniLyT","70%","MLD","PB",0.937215715139102,0.155011632293115,0.00401848937023189
"71","Multilineage_UniLyT","Multi_UniLyT","70%","WAS","BM",0.854674293960008,0.222530079940895,0.00958504908742521
"72","Multilineage_UniLyT","Multi_UniLyT","70%","WAS","PB",0.860316275764037,0.227171392477774,0.00716589778776999
"73","Multilineage_UniLyT","Multi_UniLyT","80%","BTHAL","BM",0.978846153846154,0.0636674523969741,0.00882908708444049
"74","Multilineage_UniLyT","Multi_UniLyT","80%","BTHAL","PB",0.951409618573798,0.119370399426502,0.0145834153705259
"75","Multilineage_UniLyT","Multi_UniLyT","80%","MLD","BM",0.971710942441493,0.0871835472070284,0.00379777496617933
"76","Multilineage_UniLyT","Multi_UniLyT","80%","MLD","PB",0.959447004608295,0.0996669043264966,0.0025837441337474
